Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Модель;Characteristics:Операционная система;Characteristics:Материал корпуса;Characteristics:Количество SIM-карт;Characteristics:Тип экрана;Characteristics:Диагональ;Characteristics:Размер изображения;Characteristics:Число пикселей на дюйм (PPI);Characteristics:Соотношение сторон;Characteristics:Тыловая камера;Characteristics:Тип корпуса;Characteristics:Тип дисплея;Characteristics:Яркость;Characteristics:Звук;Characteristics:Макс. время работы;Characteristics:Класс водонепроницаемости;Characteristics:Материал ремешка;Characteristics:Вид;Characteristics:Тип;Characteristics:Количество микрофонов;Characteristics:Вес наушника;Characteristics:Голосовой набор;Characteristics:Ответить/закончить разговор;Characteristics:Время работы;Characteristics:Материал;Characteristics:Активное шумоподавление;Characteristics:Особенности;Characteristics:Комплект поставки;Characteristics:Спецификации;Characteristics:Системные требования;Characteristics:Процессор;Characteristics:Экран;Characteristics:Разрешение;Characteristics:Число пикселей на дюйм;Characteristics:Bluetooth;Characteristics:Встроенные динамики;Characteristics:Технология дисплея;Characteristics:Full HD;Characteristics:Частота;Characteristics:Количество ядер;Characteristics:Объем видеопамяти;Characteristics:Количество Thunderbolt 3 (USB-C);Characteristics:Количество USB 3.0;Weight;Length;Width;Height;date_created
880635771251;;;;iPhone 12;Apple iPhone 12, 256 ГБ, Зеленый, Ростест;;;https://static.tildacdn.com/tild3039-6631-4730-b962-316365313662/iphone_12_green_0.jpeg;0;123;;;;Varu3ROp3zKhkyzH5her;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266750
906035853641;;0110;;;Apple iPhone 12, 256 ГБ, Зеленый, Ростест- Зеленый- 256- Ростест;;;;0;123;;"Цвет:Зеленый;Объем памяти:256;Регион поставки:Ростест";;pBuT6Eh1HiTuDk8lukoF;880635771251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266752
641510585681;;;;iPhone 12;Apple iPhone 12, 64 ГБ, Зеленый, Америка;;;https://static.tildacdn.com/tild6264-3761-4938-b539-633931613539/iphone_12_green_0.jpeg;54990;123;;;;KDcgNt7G3k34ad0odJaz;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266755
622557625611;;0116;;;Apple iPhone 12, 64 ГБ, Зеленый, Америка- Зеленый- 64- Америка;;;;54990;123;;"Цвет:Зеленый;Объем памяти:64;Регион поставки:Америка";;YfA4VbLnmFFKd3gzSJeZ;641510585681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266758
367732928021;;;;iPhone 12;Apple iPhone 12, 128 ГБ, Зеленый, Америка;;;https://static.tildacdn.com/tild3738-3436-4531-a263-346533623439/iphone_12_green_0.jpeg;0;123;;;;kroAuesd0lot263JkDFX;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266760
490121614351;;0122;;;Apple iPhone 12, 128 ГБ, Зеленый, Америка- Зеленый- 128- Америка;;;;0;123;;"Цвет:Зеленый;Объем памяти:128;Регион поставки:Америка";;J90NPdB3HHmTEJhScMy4;367732928021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266763
520193062121;;;;iPhone 12;Apple iPhone 12, 256 ГБ, Зеленый, Америка;;;https://static.tildacdn.com/tild3433-6430-4937-a633-633435386261/iphone_12_green_0.jpeg;0;123;;;;rzv7yISXSMTcvlhe1lzZ;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266766
425098638211;;0128;;;Apple iPhone 12, 256 ГБ, Зеленый, Америка- Зеленый- 256- Америка;;;;0;123;;"Цвет:Зеленый;Объем памяти:256;Регион поставки:Америка";;ILBsBMexFko6ALbefbRE;520193062121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266769
307550264401;;;;iPhone 12;Apple iPhone 12, 64 ГБ, Синий, Ростест;;;https://static.tildacdn.com/tild6466-3864-4239-b334-643861343266/iphone_12_blue_0.jpeg;0;123;;;;B6AUGGhYhlenmbCGLXbZ;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266772
233008507601;;0099;;;Apple iPhone 12, 64 ГБ, Синий, Ростест- Синий- 64- Ростест;;;;0;123;;"Цвет:Синий;Объем памяти:64;Регион поставки:Ростест";;1Nm5Sa3xk760g4z4MLpu;307550264401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266775
662143751211;;;;iPhone 12;Apple iPhone 12, 128 ГБ, Синий, Ростест;;;https://static.tildacdn.com/tild3137-3430-4037-b638-326535306161/iphone_12_blue_0.jpeg;0;123;;;;7fx8PHn3VNB8e7R81eM0;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266778
950780053471;;0105;;;Apple iPhone 12, 128 ГБ, Синий, Ростест- Синий- 128- Ростест;;;;0;123;;"Цвет:Синий;Объем памяти:128;Регион поставки:Ростест";;JSTt0s8RPkEuIE5A0CUn;662143751211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266781
614171413991;;;;iPhone 12;Apple iPhone 12, 256 ГБ, Синий, Ростест;;;https://static.tildacdn.com/tild3566-6637-4362-b435-366666373133/iphone_12_blue_0.jpeg;0;123;;;;XnON3crrpFiGcOhoBOtE;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266784
605644475491;;0111;;;Apple iPhone 12, 256 ГБ, Синий, Ростест- Синий- 256- Ростест;;;;0;123;;"Цвет:Синий;Объем памяти:256;Регион поставки:Ростест";;Ze5GRfjmvsRACHSjrD5u;614171413991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266787
901206832011;;;;iPhone 12;Apple iPhone 12, 64 ГБ, Синий, Америка;;;https://static.tildacdn.com/tild3161-6166-4164-a166-633664313336/iphone_12_blue_0.jpeg;54990;123;;;;rKRdFAMV9eOA7mRP565I;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266790
599532304831;;0117;;;Apple iPhone 12, 64 ГБ, Синий, Америка- Синий- 64- Америка;;;;54990;123;;"Цвет:Синий;Объем памяти:64;Регион поставки:Америка";;pa1sm8OgBmtvlkvVKpcb;901206832011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266794
709360873391;;;;iPhone 12;Apple iPhone 12, 128 ГБ, Синий, Америка;;;https://static.tildacdn.com/tild6133-3839-4734-b239-623166306431/iphone_12_blue_0.jpeg;0;123;;;;mUFIc1zGumnMbs3Ipor6;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266797
176898860011;;0123;;;Apple iPhone 12, 128 ГБ, Синий, Америка- Синий- 128- Америка;;;;0;123;;"Цвет:Синий;Объем памяти:128;Регион поставки:Америка";;pOTOmlS7bXt57D4xYkMP;709360873391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266800
463986495841;;;;iPhone 12;Apple iPhone 12, 256 ГБ, Синий, Америка;;;https://static.tildacdn.com/tild6230-3761-4165-a166-626533393963/iphone_12_blue_0.jpeg;0;123;;;;2HimBToAgpZIlPR1iF9f;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266804
237655921841;;0129;;;Apple iPhone 12, 256 ГБ, Синий, Америка- Синий- 256- Америка;;;;0;123;;"Цвет:Синий;Объем памяти:256;Регион поставки:Америка";;8ZPgBgXzlAuIXVA1bRPX;463986495841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266807
738628903051;;;;iPhone 12;Apple iPhone 12, 64 ГБ, Черный, Ростест;;;https://static.tildacdn.com/tild3634-3963-4638-b431-613039623362/iphone_12_black_0.jpeg;54990;123;;;;8xBZgojb89nxViBhxhBj;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266810
992923197601;;0100;;;Apple iPhone 12, 64 ГБ, Черный, Ростест- Черный- 64- Ростест;;;;54990;123;;"Цвет:Черный;Объем памяти:64;Регион поставки:Ростест";;8MJzFPMh6NFYA39hKt1H;738628903051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266814
558463074341;;;;iPhone 12;Apple iPhone 12, 128 ГБ, Черный, Ростест;;;https://static.tildacdn.com/tild3935-6139-4331-a362-393638326238/iphone_12_black_0.jpeg;0;123;;;;FSvGLNaEcAm31jep301T;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266817
759482902981;;0106;;;Apple iPhone 12, 128 ГБ, Черный, Ростест- Черный- 128- Ростест;;;;0;123;;"Цвет:Черный;Объем памяти:128;Регион поставки:Ростест";;4cT8xm8yzhPL3lNxJskp;558463074341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266821
461050902491;;;;iPhone 12;Apple iPhone 12, 256 ГБ, Черный, Ростест;;;https://static.tildacdn.com/tild3165-3863-4261-b232-356133373062/iphone_12_black_0.jpeg;0;123;;;;FDRE5BszErMFNlzN3lPE;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266825
701799569381;;0112;;;Apple iPhone 12, 256 ГБ, Черный, Ростест- Черный- 256- Ростест;;;;0;123;;"Цвет:Черный;Объем памяти:256;Регион поставки:Ростест";;OpEhDsGF3pic757PMFis;461050902491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266829
967004020531;;;;iPhone 12;Apple iPhone 12, 64 ГБ, Черный, Америка;;;https://static.tildacdn.com/tild6533-6433-4166-b739-373066326530/iphone_12_black_0.jpeg;41990;123;;;;SUOtdn4Y229FUozI7jeC;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266832
299231092191;;0118;;;Apple iPhone 12, 64 ГБ, Черный, Америка- Черный- 64- Америка;;;;41990;123;;"Цвет:Черный;Объем памяти:64;Регион поставки:Америка";;7viU3afMFIhs7UyFOPMZ;967004020531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266836
616206575921;;;;iPhone 12;Apple iPhone 12, 128 ГБ, Черный, Америка;;;https://static.tildacdn.com/tild6230-3163-4239-b963-303635373764/iphone_12_black_0.jpeg;0;123;;;;AehFY99nhFDLrKMie7xT;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266840
922293337511;;0124;;;Apple iPhone 12, 128 ГБ, Черный, Америка- Черный- 128- Америка;;;;0;123;;"Цвет:Черный;Объем памяти:128;Регион поставки:Америка";;lFMx0mS9FM5VLireM2y9;616206575921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266843
126983183681;;;;iPhone 12;Apple iPhone 12, 256 ГБ, Черный, Америка;;;https://static.tildacdn.com/tild3233-6638-4863-b538-303936306266/iphone_12_black_0.jpeg;0;123;;;;93Y4rMo5JMOiAJbGNAbn;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266847
946481926301;;0130;;;Apple iPhone 12, 256 ГБ, Черный, Америка- Черный- 256- Америка;;;;0;123;;"Цвет:Черный;Объем памяти:256;Регион поставки:Америка";;J9afU4s92FGaXOXnPsuP;126983183681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266852
418229506301;;;;iPhone 12;Apple iPhone 12, 64 ГБ, Фиолетовый, Ростест;;;https://static.tildacdn.com/tild6435-6166-4035-b163-303938353334/iphone12_mini_purple.jpeg;0;123;;;;ld7troyPgNic3s6uhSVX;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266855
342916143271;;0101;;;Apple iPhone 12, 64 ГБ, Фиолетовый, Ростест- Фиолетовый- 64- Ростест;;;;0;123;;"Цвет:Фиолетовый;Объем памяти:64;Регион поставки:Ростест";;cCJVoim104Xib6nsfiHU;418229506301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266860
693884661271;;;;iPhone 12;Apple iPhone 12, 128 ГБ, Фиолетовый, Ростест;;;https://static.tildacdn.com/tild3764-3761-4662-a331-396238373032/iphone12_mini_purple.jpeg;0;123;;;;aiv750meJS1FXHaTntLu;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266863
366901625581;;0107;;;Apple iPhone 12, 128 ГБ, Фиолетовый, Ростест- Фиолетовый- 128- Ростест;;;;0;123;;"Цвет:Фиолетовый;Объем памяти:128;Регион поставки:Ростест";;L35SgBN5noeoJ84Fhm0d;693884661271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266868
580724374491;;;;iPhone 12;Apple iPhone 12, 256 ГБ, Фиолетовый, Ростест;;;https://static.tildacdn.com/tild3837-3434-4064-b732-623165343338/iphone12_mini_purple.jpeg;0;123;;;;iMPPCOP6YVvunGAVpZGT;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266872
834342408911;;0113;;;Apple iPhone 12, 256 ГБ, Фиолетовый, Ростест- Фиолетовый- 256- Ростест;;;;0;123;;"Цвет:Фиолетовый;Объем памяти:256;Регион поставки:Ростест";;YhF7TvfG3s82ZMhauLB1;580724374491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266876
431466436591;;;;iPhone 12;Apple iPhone 12, 64 ГБ, Фиолетовый, Америка;;;https://static.tildacdn.com/tild3932-3063-4633-a439-356238646331/iphone12_mini_purple.jpeg;54990;123;;;;6NB6D8HDijBA9fiLa4Rm;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266880
524018941291;;0119;;;Apple iPhone 12, 64 ГБ, Фиолетовый, Америка- Фиолетовый- 64- Америка;;;;54990;123;;"Цвет:Фиолетовый;Объем памяти:64;Регион поставки:Америка";;4cD2pfrlZ1oNhosZvST2;431466436591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266885
350222335631;;;;iPhone 12;Apple iPhone 12, 128 ГБ, Фиолетовый, Америка;;;https://static.tildacdn.com/tild6136-3339-4136-b532-383336616332/iphone12_mini_purple.jpeg;0;123;;;;v6G0dvpdn2ZVoN98RvSV;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266889
486131079751;;0125;;;Apple iPhone 12, 128 ГБ, Фиолетовый, Америка- Фиолетовый- 128- Америка;;;;0;123;;"Цвет:Фиолетовый;Объем памяти:128;Регион поставки:Америка";;AP6Deds8kfcrl5LgyRxI;350222335631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266893
530537145581;;;;iPhone 12;Apple iPhone 12, 256 ГБ, Фиолетовый, Америка;;;https://static.tildacdn.com/tild3834-3066-4338-b432-613166623333/iphone12_mini_purple.jpeg;0;123;;;;tIEZsi9lUMPtilhMt5su;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7;2022-06-28 09:13:56.266897
590953764581;;0131;;;Apple iPhone 12, 256 ГБ, Фиолетовый, Америка- Фиолетовый- 256- Америка;;;;0;123;;"Цвет:Фиолетовый;Объем памяти:256;Регион поставки:Америка";;ClrKH085curnsB0LZivz;530537145581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2022-06-28 09:13:56.266902
